'Elapsed time','ECG I','ECG I filtered'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',0.590,-0.280
'0:00.002',0.610,-0.290
'0:00.004',0.635,-0.300
'0:00.006',0.615,-0.310
'0:00.008',0.565,-0.320
'0:00.010',0.495,-0.325
'0:00.012',0.480,-0.330
'0:00.014',0.465,-0.325
'0:00.016',0.485,-0.320
'0:00.018',0.570,-0.310
'0:00.020',0.665,-0.300
'0:00.022',0.690,-0.295
'0:00.024',0.680,-0.285
'0:00.026',0.655,-0.285
'0:00.028',0.605,-0.290
'0:00.030',0.525,-0.295
'0:00.032',0.505,-0.310
'0:00.034',0.470,-0.320
'0:00.036',0.505,-0.335
'0:00.038',0.540,-0.345
'0:00.040',0.620,-0.355
'0:00.042',0.620,-0.365
'0:00.044',0.630,-0.370
'0:00.046',0.595,-0.380
'0:00.048',0.505,-0.390
'0:00.050',0.425,-0.400
'0:00.052',0.415,-0.410
'0:00.054',0.400,-0.425
'0:00.056',0.415,-0.435
'0:00.058',0.485,-0.445
'0:00.060',0.525,-0.455
'0:00.062',0.515,-0.465
'0:00.064',0.545,-0.470
'0:00.066',0.510,-0.475
'0:00.068',0.440,-0.480
'0:00.070',0.375,-0.485
'0:00.072',0.350,-0.490
'0:00.074',0.335,-0.495
'0:00.076',0.365,-0.500
'0:00.078',0.440,-0.505
'0:00.080',0.490,-0.505
'0:00.082',0.575,-0.505
'0:00.084',0.530,-0.505
'0:00.086',0.485,-0.505
'0:00.088',0.430,-0.500
'0:00.090',0.365,-0.500
'0:00.092',0.355,-0.500
'0:00.094',0.365,-0.500
'0:00.096',0.405,-0.500
'0:00.098',0.470,-0.505
'0:00.100',0.515,-0.505
'0:00.102',0.555,-0.510
'0:00.104',0.565,-0.510
'0:00.106',0.540,-0.505
'0:00.108',0.480,-0.505
'0:00.110',0.425,-0.500
'0:00.112',0.400,-0.490
'0:00.114',0.390,-0.485
'0:00.116',0.440,-0.480
'0:00.118',0.505,-0.475
'0:00.120',0.585,-0.475
'0:00.122',0.615,-0.470
'0:00.124',0.610,-0.470
'0:00.126',0.570,-0.470
'0:00.128',0.540,-0.470
'0:00.130',0.485,-0.465
'0:00.132',0.460,-0.460
'0:00.134',0.475,-0.455
'0:00.136',0.520,-0.450
'0:00.138',0.595,-0.445
'0:00.140',0.660,-0.435
'0:00.142',0.655,-0.430
'0:00.144',0.665,-0.425
'0:00.146',0.640,-0.420
'0:00.148',0.570,-0.415
'0:00.150',0.540,-0.405
'0:00.152',0.535,-0.400
'0:00.154',0.540,-0.395
'0:00.156',0.570,-0.395
'0:00.158',0.660,-0.390
'0:00.160',0.695,-0.390
'0:00.162',0.730,-0.390
'0:00.164',0.730,-0.390
'0:00.166',0.705,-0.390
'0:00.168',0.630,-0.385
'0:00.170',0.605,-0.385
'0:00.172',0.590,-0.375
'0:00.174',0.590,-0.370
'0:00.176',0.625,-0.360
'0:00.178',0.715,-0.355
'0:00.180',0.760,-0.350
'0:00.182',0.790,-0.345
'0:00.184',0.780,-0.340
'0:00.186',0.735,-0.340
'0:00.188',0.675,-0.340
'0:00.190',0.645,-0.340
'0:00.192',0.645,-0.335
'0:00.194',0.660,-0.330
'0:00.196',0.700,-0.325
'0:00.198',0.775,-0.320
'0:00.200',0.805,-0.315
'0:00.202',0.845,-0.310
'0:00.204',0.835,-0.305
'0:00.206',0.790,-0.300
'0:00.208',0.730,-0.300
'0:00.210',0.710,-0.300
'0:00.212',0.680,-0.300
'0:00.214',0.705,-0.300
'0:00.216',0.760,-0.300
'0:00.218',0.855,-0.300
'0:00.220',0.870,-0.295
'0:00.222',0.885,-0.295
'0:00.224',0.885,-0.290
'0:00.226',0.840,-0.290
'0:00.228',0.750,-0.290
'0:00.230',0.735,-0.290
'0:00.232',0.715,-0.285
'0:00.234',0.740,-0.285
'0:00.236',0.795,-0.285
'0:00.238',0.865,-0.285
'0:00.240',0.900,-0.285
'0:00.242',0.905,-0.280
'0:00.244',0.940,-0.280
'0:00.246',0.875,-0.280
'0:00.248',0.770,-0.280
'0:00.250',0.745,-0.280
'0:00.252',0.755,-0.280
'0:00.254',0.765,-0.280
'0:00.256',0.820,-0.280
'0:00.258',0.935,-0.275
'0:00.260',0.930,-0.275
'0:00.262',0.970,-0.270
'0:00.264',0.935,-0.265
'0:00.266',0.890,-0.265
'0:00.268',0.820,-0.260
'0:00.270',0.820,-0.260
'0:00.272',0.805,-0.255
'0:00.274',0.835,-0.250
'0:00.276',0.905,-0.245
'0:00.278',1.005,-0.245
'0:00.280',1.010,-0.240
'0:00.282',1.035,-0.235
'0:00.284',1.005,-0.235
'0:00.286',0.935,-0.235
'0:00.288',0.870,-0.235
'0:00.290',0.850,-0.235
'0:00.292',0.840,-0.225
'0:00.294',0.890,-0.205
'0:00.296',0.995,-0.170
'0:00.298',1.150,-0.120
'0:00.300',1.255,-0.055
'0:00.302',1.325,0.025
'0:00.304',1.365,0.105
'0:00.306',1.400,0.180
'0:00.308',1.420,0.245
'0:00.310',1.460,0.280
'0:00.312',1.435,0.290
'0:00.314',1.395,0.265
'0:00.316',1.370,0.210
'0:00.318',1.305,0.125
'0:00.320',1.285,0.025
'0:00.322',1.230,-0.080
'0:00.324',1.120,-0.185
'0:00.326',0.950,-0.280
'0:00.328',0.750,-0.350
'0:00.330',0.645,-0.400
'0:00.332',0.645,-0.430
'0:00.334',0.750,-0.435
'0:00.336',0.845,-0.425
'0:00.338',0.930,-0.400
'0:00.340',0.995,-0.365
'0:00.342',1.020,-0.330
'0:00.344',1.030,-0.290
'0:00.346',1.000,-0.255
'0:00.348',0.960,-0.220
'0:00.350',0.975,-0.190
'0:00.352',0.990,-0.165
'0:00.354',1.045,-0.145
'0:00.356',1.165,-0.125
'0:00.358',1.250,-0.110
'0:00.360',1.295,-0.095
'0:00.362',1.305,-0.080
'0:00.364',1.275,-0.060
'0:00.366',1.215,-0.045
'0:00.368',1.180,-0.030
'0:00.370',1.185,-0.010
'0:00.372',1.200,0.000
'0:00.374',1.235,0.015
'0:00.376',1.320,0.020
'0:00.378',1.410,0.030
'0:00.380',1.420,0.030
'0:00.382',1.420,0.035
'0:00.384',1.390,0.040
'0:00.386',1.330,0.050
'0:00.388',1.300,0.055
'0:00.390',1.295,0.065
'0:00.392',1.280,0.080
'0:00.394',1.335,0.090
'0:00.396',1.425,0.095
'0:00.398',1.460,0.100
'0:00.400',1.500,0.105
'0:00.402',1.525,0.110
'0:00.404',1.480,0.110
'0:00.406',1.430,0.115
'0:00.408',1.395,0.125
'0:00.410',1.380,0.135
'0:00.412',1.405,0.150
'0:00.414',1.435,0.165
'0:00.416',1.525,0.180
'0:00.418',1.600,0.190
'0:00.420',1.600,0.200
'0:00.422',1.620,0.205
'0:00.424',1.590,0.210
'0:00.426',1.545,0.210
'0:00.428',1.480,0.210
'0:00.430',1.475,0.210
'0:00.432',1.500,0.215
'0:00.434',1.545,0.220
'0:00.436',1.630,0.230
'0:00.438',1.685,0.240
'0:00.440',1.725,0.255
'0:00.442',1.730,0.270
'0:00.444',1.680,0.285
'0:00.446',1.655,0.300
'0:00.448',1.620,0.315
'0:00.450',1.600,0.330
'0:00.452',1.645,0.340
'0:00.454',1.685,0.350
'0:00.456',1.785,0.360
'0:00.458',1.820,0.370
'0:00.460',1.865,0.375
'0:00.462',1.865,0.380
'0:00.464',1.830,0.390
'0:00.466',1.780,0.400
'0:00.468',1.765,0.410
'0:00.470',1.750,0.425
'0:00.472',1.765,0.445
'0:00.474',1.860,0.460
'0:00.476',1.945,0.480
'0:00.478',1.970,0.495
'0:00.480',2.000,0.510
'0:00.482',2.020,0.525
'0:00.484',1.960,0.530
'0:00.486',1.890,0.535
'0:00.488',1.885,0.540
'0:00.490',1.870,0.540
'0:00.492',1.905,0.535
'0:00.494',1.930,0.535
'0:00.496',2.020,0.530
'0:00.498',2.035,0.530
'0:00.500',2.050,0.525
'0:00.502',2.045,0.525
'0:00.504',2.010,0.520
'0:00.506',1.920,0.520
'0:00.508',1.890,0.515
'0:00.510',1.870,0.510
'0:00.512',1.885,0.505
'0:00.514',1.920,0.500
'0:00.516',1.970,0.495
'0:00.518',2.030,0.485
'0:00.520',2.035,0.480
'0:00.522',2.025,0.470
'0:00.524',1.970,0.460
'0:00.526',1.860,0.450
'0:00.528',1.815,0.440
'0:00.530',1.790,0.430
'0:00.532',1.830,0.420
'0:00.534',1.840,0.410
'0:00.536',1.935,0.400
'0:00.538',1.955,0.390
'0:00.540',1.950,0.380
'0:00.542',1.920,0.375
'0:00.544',1.870,0.365
'0:00.546',1.800,0.360
'0:00.548',1.770,0.355
'0:00.550',1.760,0.350
'0:00.552',1.810,0.350
'0:00.554',1.820,0.350
'0:00.556',1.910,0.350
'0:00.558',1.930,0.350
'0:00.560',1.930,0.350
'0:00.562',1.935,0.345
'0:00.564',1.895,0.345
'0:00.566',1.790,0.345
'0:00.568',1.805,0.345
'0:00.570',1.790,0.345
'0:00.572',1.825,0.345
'0:00.574',1.880,0.350
'0:00.576',1.960,0.360
'0:00.578',1.990,0.370
'0:00.580',2.010,0.375
'0:00.582',1.985,0.385
'0:00.584',1.935,0.385
