'Elapsed time','ECG I','ECG I filtered'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',0.215,-0.215
'0:00.002',0.240,-0.155
'0:00.004',0.355,-0.105
'0:00.006',0.415,-0.065
'0:00.008',0.450,-0.040
'0:00.010',0.480,-0.020
'0:00.012',0.445,-0.015
'0:00.014',0.440,-0.020
'0:00.016',0.340,-0.025
'0:00.018',0.330,-0.025
'0:00.020',0.360,-0.025
'0:00.022',0.450,-0.020
'0:00.024',0.450,-0.010
'0:00.026',0.485,0.005
'0:00.028',0.525,0.015
'0:00.030',0.500,0.025
'0:00.032',0.475,0.025
'0:00.034',0.435,0.025
'0:00.036',0.340,0.020
'0:00.038',0.390,0.015
'0:00.040',0.450,0.005
'0:00.042',0.420,0.000
'0:00.044',0.470,0.000
'0:00.046',0.520,0.000
'0:00.048',0.525,0.005
'0:00.050',0.465,0.010
'0:00.052',0.465,0.015
'0:00.054',0.465,0.020
'0:00.056',0.385,0.020
'0:00.058',0.355,0.020
'0:00.060',0.390,0.020
'0:00.062',0.450,0.020
'0:00.064',0.485,0.020
'0:00.066',0.530,0.025
'0:00.068',0.565,0.030
'0:00.070',0.535,0.035
'0:00.072',0.540,0.040
'0:00.074',0.485,0.045
'0:00.076',0.390,0.050
'0:00.078',0.410,0.055
'0:00.080',0.400,0.050
'0:00.082',0.430,0.045
'0:00.084',0.505,0.035
'0:00.086',0.510,0.025
'0:00.088',0.540,0.015
'0:00.090',0.500,0.005
'0:00.092',0.495,0.005
'0:00.094',0.510,0.005
'0:00.096',0.370,0.010
'0:00.098',0.360,0.020
'0:00.100',0.335,0.035
'0:00.102',0.465,0.045
'0:00.104',0.490,0.055
'0:00.106',0.590,0.060
'0:00.108',0.585,0.065
'0:00.110',0.565,0.060
'0:00.112',0.535,0.055
'0:00.114',0.530,0.050
'0:00.116',0.405,0.045
'0:00.118',0.380,0.040
'0:00.120',0.395,0.040
'0:00.122',0.490,0.045
'0:00.124',0.530,0.055
'0:00.126',0.610,0.065
'0:00.128',0.580,0.075
'0:00.130',0.570,0.080
'0:00.132',0.500,0.090
'0:00.134',0.505,0.090
'0:00.136',0.465,0.090
'0:00.138',0.510,0.085
'0:00.140',0.465,0.085
'0:00.142',0.530,0.080
'0:00.144',0.510,0.075
'0:00.146',0.575,0.075
'0:00.148',0.575,0.075
'0:00.150',0.600,0.080
'0:00.152',0.515,0.085
'0:00.154',0.505,0.090
'0:00.156',0.455,0.095
'0:00.158',0.500,0.105
'0:00.160',0.550,0.110
'0:00.162',0.565,0.120
'0:00.164',0.580,0.130
'0:00.166',0.615,0.135
'0:00.168',0.655,0.140
'0:00.170',0.645,0.145
'0:00.172',0.580,0.150
'0:00.174',0.550,0.155
'0:00.176',0.595,0.155
'0:00.178',0.550,0.155
'0:00.180',0.535,0.155
'0:00.182',0.565,0.155
'0:00.184',0.660,0.165
'0:00.186',0.690,0.170
'0:00.188',0.695,0.185
'0:00.190',0.705,0.195
'0:00.192',0.640,0.210
'0:00.194',0.660,0.220
'0:00.196',0.610,0.230
'0:00.198',0.620,0.230
'0:00.200',0.595,0.230
'0:00.202',0.660,0.220
'0:00.204',0.700,0.210
'0:00.206',0.730,0.200
'0:00.208',0.700,0.195
'0:00.210',0.690,0.190
'0:00.212',0.665,0.190
'0:00.214',0.615,0.195
'0:00.216',0.585,0.205
'0:00.218',0.610,0.210
'0:00.220',0.575,0.220
'0:00.222',0.685,0.220
'0:00.224',0.710,0.220
'0:00.226',0.710,0.210
'0:00.228',0.680,0.195
'0:00.230',0.675,0.180
'0:00.232',0.665,0.165
'0:00.234',0.500,0.155
'0:00.236',0.560,0.150
'0:00.238',0.590,0.145
'0:00.240',0.555,0.145
'0:00.242',0.620,0.150
'0:00.244',0.635,0.150
'0:00.246',0.650,0.145
'0:00.248',0.595,0.135
'0:00.250',0.555,0.120
'0:00.252',0.515,0.100
'0:00.254',0.490,0.080
'0:00.256',0.425,0.065
'0:00.258',0.425,0.050
'0:00.260',0.470,0.040
'0:00.262',0.520,0.035
'0:00.264',0.555,0.035
'0:00.266',0.545,0.040
'0:00.268',0.510,0.040
'0:00.270',0.505,0.035
'0:00.272',0.470,0.030
'0:00.274',0.380,0.015
'0:00.276',0.375,0.000
'0:00.278',0.315,-0.015
'0:00.280',0.390,-0.025
'0:00.282',0.480,-0.035
'0:00.284',0.500,-0.040
'0:00.286',0.485,-0.040
'0:00.288',0.485,-0.035
'0:00.290',0.440,-0.025
'0:00.292',0.380,-0.015
'0:00.294',0.415,-0.005
'0:00.296',0.445,0.000
'0:00.298',0.365,0.000
'0:00.300',0.365,-0.005
'0:00.302',0.400,-0.010
'0:00.304',0.575,-0.015
'0:00.306',0.490,-0.025
'0:00.308',0.440,-0.030
'0:00.310',0.445,-0.035
'0:00.312',0.410,-0.035
'0:00.314',0.310,-0.035
'0:00.316',0.345,-0.030
'0:00.318',0.400,-0.025
'0:00.320',0.440,-0.020
'0:00.322',0.430,-0.020
'0:00.324',0.500,-0.015
'0:00.326',0.510,-0.015
'0:00.328',0.490,-0.020
'0:00.330',0.460,-0.025
'0:00.332',0.435,-0.035
'0:00.334',0.350,-0.040
'0:00.336',0.355,-0.045
'0:00.338',0.340,-0.045
'0:00.340',0.375,-0.050
'0:00.342',0.375,-0.045
'0:00.344',0.520,-0.045
'0:00.346',0.460,-0.040
'0:00.348',0.475,-0.040
'0:00.350',0.460,-0.035
'0:00.352',0.400,-0.035
'0:00.354',0.355,-0.035
'0:00.356',0.375,-0.035
'0:00.358',0.365,-0.040
'0:00.360',0.390,-0.045
'0:00.362',0.380,-0.045
'0:00.364',0.440,-0.050
'0:00.366',0.435,-0.050
'0:00.368',0.520,-0.050
'0:00.370',0.450,-0.050
